Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Status Category,Status Category Changed
Enable Selinium scripts to also test Pega apps/iframes/etc,TES-25,10814,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,22/Sep/25 9:26 AM,22/Sep/25 9:26 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001wn:,TES Sprint 1,,,,,,,,,To Do,22/Sep/25 9:26 AM
Bug Fixing: problem in production,TES-24,10813,Task,In Progress,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,22/Sep/25 9:09 AM,22/Sep/25 9:09 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001wf:,TES Sprint 1,,,,,,,,,In Progress,22/Sep/25 9:09 AM
"Need to discuss ""Login"" steps in the ""test plan/selinum"" even if not included in User Story",TES-23,10780,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,19/Sep/25 9:22 AM,19/Sep/25 9:22 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001w7:,TES Sprint 1,,,,,,,,,To Do,19/Sep/25 9:22 AM
SPIKE: How big a lift is PAATS robotics reimplementation,TES-22,10779,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,19/Sep/25 9:12 AM,19/Sep/25 9:12 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001vz:,TES Sprint 1,,,,,,,,,To Do,19/Sep/25 9:12 AM
SPIKE: VersionOne API,TES-21,10746,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,17/Sep/25 10:29 AM,17/Sep/25 10:29 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001vr:,TES Sprint 1,,,,,,,,,To Do,17/Sep/25 10:29 AM
Need to create different dockers for Dev and Prod (Eating our own dog food),TES-20,10713,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,10/Sep/25 9:20 AM,10/Sep/25 9:28 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001vj:,,,,,,,,,,To Do,10/Sep/25 9:20 AM
Create a Network Architecture diagram for TAG,TES-19,10678,Task,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:21 AM,12/Sep/25 9:05 AM,,12/Sep/25 9:05 AM,,0,,,Saicharan Basireddy,Sai Sontineni,,5fe07a7dd3649601392ba191,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,0|i001un:,TES Sprint 1,,,,,,05/Sep/25 7:24 AM;5fe07a7dd3649601392ba191;[~accountid:5fe07a7dd3649601392ba191] is working on the Network Architecture with respect to the TestAutoGen AWS Service by 09/05/2025,12/Sep/25 9:05 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;Eric has approved on 09/11 the network architecture diagram.,,Done,12/Sep/25 9:05 AM
Need to define roles and provide role based permissions to the application,TES-18,10677,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:09 AM,03/Sep/25 9:10 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001uf:,,,,,,,,,,To Do,03/Sep/25 9:09 AM
Need to have option for the user to configure their own LLM,TES-17,10676,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:08 AM,03/Sep/25 9:08 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001u7:,,,,,,,,,,To Do,03/Sep/25 9:08 AM
Need to store data from the files stored in S3 within Vector DB,TES-16,10675,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:07 AM,03/Sep/25 9:08 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001tz:,,,,,,,,,,To Do,03/Sep/25 9:07 AM
